Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
1602,"1,378",616,131,130,427,9,0,25,40,"1,140",566,102,90,325,6,0,22,29,0,0,0,0,0,0,0,0,551,515,36
1603,"2,518",440,861,344,695,13,4,51,110,"2,000",398,675,254,533,12,4,37,87,31,0,0,0,0,0,0,31,955,884,71
1604,"2,317",578,573,348,626,5,0,76,111,"1,867",520,468,233,494,5,0,66,81,107,0,0,106,0,0,0,1,813,764,49
1605,"2,315",879,507,284,522,5,0,41,77,"1,841",790,355,187,407,5,0,33,64,0,0,0,0,0,0,0,0,957,906,51
1606,"3,150",746,868,347,"1,024",5,0,46,114,"2,571",657,711,270,798,5,0,42,88,0,0,0,0,0,0,0,0,"1,298","1,244",54
1607,"1,743","1,176",191,107,166,6,0,49,48,"1,419",999,142,83,114,6,0,35,40,11,0,0,0,0,0,0,11,756,708,48
1608,"3,042","1,647",527,302,420,6,5,77,58,"2,498","1,427",407,213,333,6,4,58,50,0,0,0,0,0,0,0,0,"1,288","1,216",72
1609,"2,131","1,853",40,52,139,1,0,34,12,"1,789","1,560",33,45,111,1,0,28,11,0,0,0,0,0,0,0,0,981,915,66
1610,"2,179","1,445",226,146,272,6,0,36,48,"1,827","1,252",194,106,210,4,0,21,40,88,0,0,77,0,0,0,11,982,915,67
1611,"1,138",782,151,86,85,7,0,6,21,951,666,121,65,74,4,0,5,16,0,0,0,0,0,0,0,0,493,476,17
1612,"1,590","1,391",89,35,38,2,0,18,17,"1,305","1,141",81,27,30,0,0,13,13,0,0,0,0,0,0,0,0,768,752,16
1701,"2,204",88,"1,245",553,68,11,1,75,163,"1,614",74,931,372,47,10,1,57,122,24,0,0,0,0,0,0,24,724,678,46
1702,"1,393",100,662,256,226,5,0,23,121,"1,130",88,536,201,183,5,0,17,100,20,0,0,0,0,0,0,20,482,423,59
1703,"2,933",374,"1,705",515,137,15,0,61,126,"2,283",335,"1,337",347,115,14,0,43,92,31,0,0,0,0,0,0,31,"1,075","1,026",49
1704,"2,952",632,"1,444",343,309,10,1,61,152,"2,368",551,"1,169",235,253,9,0,43,108,113,0,0,101,0,0,0,12,"1,105","1,020",85
1705,"1,786",42,"1,068",522,50,7,3,17,77,"1,250",30,786,327,33,7,0,12,55,0,0,0,0,0,0,0,0,606,564,42
1706,"2,018",374,852,422,201,17,2,54,96,"1,631",330,714,303,141,12,2,49,80,0,0,0,0,0,0,0,0,834,788,46
1707,"1,363",52,929,242,39,4,0,19,78,"1,037",50,724,153,28,4,0,17,61,13,0,0,0,0,0,0,13,452,429,23
1708,"2,007",105,"1,213",506,57,26,2,53,45,"1,523",96,926,353,43,25,1,40,39,0,0,0,0,0,0,0,0,730,677,53
1709,"1,290",451,471,181,99,2,2,30,54,"1,037",389,371,129,79,2,2,23,42,9,0,9,0,0,0,0,0,585,542,43
1710,"2,626",97,"1,810",426,99,8,0,51,135,"1,987",92,"1,411",278,74,8,0,34,90,0,0,0,0,0,0,0,0,997,911,86
1711,984,189,498,150,74,10,0,31,32,825,185,413,111,56,10,0,26,24,24,0,0,0,0,0,0,24,441,426,15
1712,"1,417",160,894,206,61,4,0,22,70,"1,158",142,742,141,53,4,0,16,60,0,0,0,0,0,0,0,0,495,462,33
1713,"1,796",888,477,165,200,5,1,28,32,"1,575",821,402,143,155,5,1,22,26,11,0,0,0,0,0,0,11,"1,064",995,69
1714,"1,681",491,800,175,110,5,0,32,68,"1,424",465,655,135,90,5,0,27,47,0,0,0,0,0,0,0,0,808,790,18
1801,"3,423",179,"2,152",839,51,18,2,63,119,"2,609",166,"1,686",555,43,15,2,46,96,51,0,0,0,0,0,0,51,"1,398","1,337",61
1802,"2,462",25,"1,902",410,9,19,2,13,82,"1,944",16,"1,534",290,7,12,2,11,72,22,0,0,0,0,0,0,22,989,934,55
1803,"2,810",51,"2,191",414,11,4,4,24,111,"2,142",42,"1,720",274,7,3,4,19,73,7,0,0,0,0,0,0,7,"1,026",979,47
1804,"2,958",67,"2,293",417,30,3,2,31,115,"2,325",57,"1,851",272,23,0,1,24,97,79,0,6,73,0,0,0,0,"1,125","1,078",47
1805,"2,464",95,"1,896",347,16,7,0,22,81,"1,953",89,"1,532",227,12,7,0,21,65,1,0,0,0,0,0,0,1,967,937,30
1806,"2,800",100,"2,065",478,31,9,0,20,97,"2,281",88,"1,716",355,17,7,0,19,79,0,0,0,0,0,0,0,0,963,888,75
1807,"2,365",461,819,855,120,6,0,67,37,"1,892",415,655,651,92,6,0,50,23,32,0,9,0,0,0,0,23,863,805,58
1808,"3,961",445,"1,989","1,291",105,2,1,39,89,"3,214",397,"1,646",976,89,2,1,31,72,0,0,0,0,0,0,0,0,"1,612","1,574",38
1809,"2,035",881,540,486,68,8,0,31,21,"1,652",760,423,372,58,7,0,23,9,5,0,0,0,0,0,0,5,836,793,43
1810,"2,917","1,642",477,571,139,6,0,54,28,"2,391","1,386",364,457,120,6,0,41,17,3,0,0,0,0,0,0,3,"1,219","1,153",66
1811,"2,392",442,"1,075",714,78,3,1,25,54,"1,804",383,787,503,71,3,0,15,42,1,0,0,0,0,0,0,1,"1,043",988,55
1812,"2,367",657,941,607,52,21,1,28,60,"1,903",578,755,453,35,21,1,5,55,12,0,0,0,0,0,0,12,920,878,42
1813,"1,636",270,791,486,24,8,2,17,38,"1,328",236,654,362,21,8,2,14,31,0,0,0,0,0,0,0,0,578,557,21
1814,"1,648",186,754,645,19,6,0,6,32,"1,326",165,608,494,17,6,0,6,30,49,0,0,36,0,0,0,13,569,514,55
